Date,Title,Time Published,Author,Submission Date,Status,Persona,WG
2026-01-02,Build News sentiment analytics app in Snowflake (completely with prompts),1899-12-30,Anup Moncy,2025-12-22,Scheduled,Internal,
2026-01-02,Connect Databricks Unity Catalog to Snowflake via Iceberg REST,1899-12-30,Richie Bachala,2025-12-26,Scheduled,Internal,
2026-01-03,Your Snowflake Story Belongs on Stage,1899-12-30,Daniel Myers,2026-01-03,Scheduled,Internal,
2026-01-05,Optimising Data Continuity and Availability with Snowflake Replication and Failover,1899-12-30,Pierre-Mickaël Chancrin,2025-12-27,Scheduled,Squad,
2026-01-05,Turbocharge your modern data pipeline using Snowflake Openflow,1899-12-30,Senthilnathan Jegadeeswaran,2025-12-29,Scheduled,Internal,
2026-01-06,Pre-Requisites for Snowflake Disaster Recovery Implementation,1899-12-30,Harshit Singh,2025-12-31,Scheduled,Internal,
2026-01-06,"I tried Pulumi with Snowflake, is it really better than Terraform?",1899-12-30,Vidura Dantanarayana,2026-01-04,Scheduled,External,
2026-01-06,Ingest Data from Kafka on AWS into Snowflake with Snowpark,1899-12-30,Sabrina Liu,2026-01-04,Pending Feedback,Internal,
2026-01-07,Stop Overpaying for Frequent Short-Running Snowflake Jobs,1899-12-30,Jon Roberts,2026-01-05,Scheduled,Internal,
2026-01-08,From Data Maze to Intelligence Layer: GTM AI Assistant with Semantic Views on Snowflake Intelligence,1899-12-30,Wei Huai,2026-01-05,Scheduled,Internal,
2026-01-09,Snowflake Just Unlocked Real-Time Kafka Streaming at Unprecedented Scale,1899-12-30,Sahil Walia,2026-01-05,Scheduled,Internal,
2026-01-09,Snowflake Weekly Recap,1899-12-30,Kevin Nguyen,2026-01-09,Scheduled,Internal,
2026-01-12,How Moving Snowflake Service Accounts From Passwords to Key-Pair Auth (and NSP Rules) Stopped an Attack - Even When We Weren't Watching,1899-12-30,Vedprakash,2026-01-06,Scheduled,External,
2026-01-12,Using Programmatic Access in Snowflake,1899-12-30,Jon Roberts,2026-01-05,Scheduled,Internal,
2026-01-12,Bridging AI Agents: Connecting Snowflake Cortex to the A2A Protocol,1899-12-30,Tianxia Jia,2026-01-09,Scheduled,Internal,
2026-01-13,Snowpark Connect for Apache Spark: Bridging Spark and Snowflake,1899-12-30,Dipal Mahajan,2026-01-06,Scheduled,Internal,
2026-01-13,Deploying R Models in Snowflake Model Registry,1899-12-30,Kaitlyn Wells,2026-01-09,Scheduled,Internal,
2026-01-14,Revolutionizing GRC: Leveraging Snowflake as Your Compliance Engine,1899-12-30,Vincent Luongo,2026-01-07,Scheduled,Internal,
2026-01-15,Over Egress Fees? Try Akave's S3 Compatible Storage - Now officially supported by Snowflake,1899-12-30,Bart Hofkin,2026-01-08,Scheduled,Partner,
2026-01-15,AAAxAgents® YOUR HYBRID AI AGENT,1899-12-30,Benjamin Gigerl,2026-01-14,Scheduled,Partner,
2026-01-15,Enterprise Data Sharing with Federated Governance using Snowflake features - Provider's Perspective,1899-12-30,Nithya Rangarajan,2026-01-11,Scheduled,Internal,
2026-01-16,Just the Gist: Data ShareBack from Snowflake Consumer to Snowflake Provider with Native Apps,1899-12-30,Venkat Sekar,2026-01-09,Scheduled,Internal,
2026-01-16,Query Google Sheets Directly in Snowflake,1899-12-30,Anant Damle,2026-01-11,Scheduled,Internal,
